username,c3score,c4score,c5score,c6score,c7score,c10score,accepted_number,submission_number,total_score,jichutotal,jichuaccept,jichufail,jichurate,panduantotal,panduanaccept,panduanfail,panduanrate,xunhuantotal,xunhuanaccept,xunhuanfail,xunhuanrate,shuzutotal,shuzuaccept,shuzufail,shuzurate,hanshutotal,hanshuaccept,hanshufail,hanshurate,final,total
161810334,600,1175,775,825,1025,100,0,0,0,7,4,3,0.6 ,28,14,14,0.5 ,64,15,49,0.2 ,45,11,34,0.2 ,5,1,4,0.2 ,68,7
161840232,600,1200,900,900,1600,1200,0,0,0,19,3,16,0.2 ,39,15,24,0.4 ,39,18,21,0.5 ,90,16,74,0.2 ,26,13,13,0.5 ,93,9
161930110,700,1200,850,900,1600,1075,0,0,0,13,4,9,0.3 ,22,16,6,0.7 ,43,18,25,0.4 ,35,16,19,0.5 ,18,9,9,0.5 ,92,9
161940102,900,1200,875,900,1600,1200,0,0,0,13,6,7,0.5 ,19,15,4,0.8 ,34,21,13,0.6 ,35,17,18,0.5 ,21,12,9,0.6 ,98,10
161940103,900,1200,800,775,1300,1200,0,0,0,13,6,7,0.5 ,39,15,24,0.4 ,41,15,26,0.4 ,15,13,2,0.9 ,19,12,7,0.6 ,91,9
161940114,600,1200,900,900,825,975,0,0,0,5,3,2,0.6 ,26,18,8,0.7 ,100,21,79,0.2 ,44,7,37,0.2 ,66,9,57,0.1 ,82,8
161940223,800,1200,600,700,1250,1200,0,0,0,9,6,3,0.7 ,32,16,16,0.5 ,84,17,67,0.2 ,91,12,79,0.1 ,48,12,36,0.3 ,84,8
162010101,900,1200,900,900,1600,1200,0,0,0,11,6,5,0.6 ,35,16,19,0.5 ,50,18,32,0.4 ,58,16,42,0.3 ,39,15,24,0.4 ,98,10
162010102,400,525,675,650,585,1075,0,0,0,9,1,8,0.1 ,36,7,29,0.2 ,30,10,20,0.3 ,26,4,22,0.2 ,25,9,16,0.4 ,60,6
162010103,900,1200,900,900,1600,1175,0,0,0,10,7,3,0.7 ,18,15,3,0.8 ,35,18,17,0.5 ,32,16,16,0.5 ,57,11,46,0.2 ,98,10
162010104,900,1200,900,900,1600,1200,0,0,0,10,6,4,0.6 ,59,16,43,0.3 ,52,19,33,0.4 ,70,19,51,0.3 ,24,12,12,0.5 ,98,10
162010107,600,1200,750,725,1260,1050,0,0,0,4,3,1,0.8 ,17,15,2,0.9 ,31,14,17,0.5 ,30,10,20,0.3 ,13,9,4,0.7 ,82,8
162010108,200,0,400,375,455,1075,0,0,0,8,2,6,0.3 ,15,0,15,0.0 ,23,6,17,0.3 ,18,3,15,0.2 ,13,9,4,0.7 ,37,4
162010109,600,1200,900,900,1600,1100,0,0,0,10,3,7,0.3 ,60,18,42,0.3 ,61,22,39,0.4 ,89,28,61,0.3 ,42,12,30,0.3 ,92,9
162010110,100,0,900,900,1270,1175,0,0,0,10,1,9,0.1 ,15,0,15,0.0 ,46,18,28,0.4 ,81,12,69,0.2 ,44,15,29,0.3 ,65,6
162010112,600,1200,775,800,1010,1000,0,0,0,5,3,2,0.6 ,20,15,5,0.8 ,44,15,29,0.3 ,41,5,36,0.1 ,20,9,11,0.5 ,80,8
162010113,0,0,400,375,655,950,0,0,0,3,0,3,0.0 ,16,0,16,0.0 ,25,6,19,0.2 ,18,5,13,0.3 ,16,7,9,0.4 ,34,4
162010114,0,0,100,200,925,975,0,0,0,3,0,3,0.0 ,22,0,22,0.0 ,24,3,21,0.1 ,19,7,12,0.4 ,14,7,7,0.5 ,29,3
162010115,600,1200,900,900,1410,1100,0,0,0,6,3,3,0.5 ,29,16,13,0.6 ,52,18,34,0.4 ,134,16,118,0.1 ,26,9,17,0.4 ,90,9
162010117,600,1200,900,900,1600,1200,0,0,0,6,3,3,0.5 ,25,15,10,0.6 ,36,19,17,0.5 ,79,16,63,0.2 ,37,12,25,0.3 ,93,9
